epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,170.89368,0.00010,14573.67662,2.77981,2.04848,2.05004,1.68891,0.00000,0.00000,0.00000,0.00000
2.00000,87.38179,0.00010,14533.43507,1.88684,1.56347,1.53585,1.45431,0.00000,0.00000,0.00000,0.00000
3.00000,70.36212,0.00010,14592.69150,1.67264,1.41661,1.49996,1.38249,0.00000,0.00000,0.00000,0.00000
4.00000,61.49554,0.00010,14560.77693,1.57055,1.33081,1.94559,1.27738,0.00000,0.00000,0.00000,0.00000
5.00000,56.05635,0.00010,14589.99160,1.50767,1.27249,1.39379,1.25249,0.00000,0.00000,0.00000,0.00000
6.00000,52.32605,0.00010,14530.60003,1.46793,1.22982,1.29158,1.21248,0.00000,0.00000,0.00000,0.00000
7.00000,49.32341,0.00010,14746.59587,1.43515,1.19624,1.11904,1.17253,0.00000,0.00000,0.00000,0.00000
8.00000,47.22226,0.00010,14719.64900,1.41081,1.16917,1.27705,1.19195,0.00000,0.00000,0.00000,0.00000
9.00000,45.43167,0.00010,14652.25276,1.39769,1.14736,1.17758,1.13182,0.00000,0.00000,0.00000,0.00000
10.00000,43.92265,0.00010,15579.28789,1.38334,1.12889,1.14099,1.11023,0.00000,0.00000,1.13683,1.10976
11.00000,42.56785,0.00010,14559.50532,1.35900,1.11198,3.19643,1.09640,0.00000,0.00000,0.00000,0.00000
12.00000,41.51803,0.00010,14531.21626,1.34986,1.09726,1.72435,1.12484,0.00000,0.00000,0.00000,0.00000
13.00000,40.63310,0.00010,14549.85316,1.33171,1.08519,1.07440,1.12237,0.00000,0.00000,0.00000,0.00000
14.00000,39.82340,0.00010,14531.94813,1.33054,1.07423,2.20531,1.09566,0.00000,0.00000,0.00000,0.00000
15.00000,39.14317,0.00010,14522.06401,1.32288,1.06482,1.45716,1.08001,0.00000,0.00000,0.00000,0.00000
16.00000,38.51701,0.00010,14565.84454,1.30033,1.05525,1.02722,1.06273,0.00000,0.00000,0.00000,0.00000
