epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,152.60261,0.00010,12354.89571,2.99794,1.88964,2.04497,1.54696,0.00000,0.00000,0.00000,0.00000
2.00000,76.74991,0.00010,12349.85252,1.92571,1.44982,2.24617,1.35185,0.00000,0.00000,0.00000,0.00000
3.00000,61.28355,0.00010,12359.89610,1.67377,1.31220,2.50556,1.24581,0.00000,0.00000,0.00000,0.00000
4.00000,53.17618,0.00010,12309.32777,1.54305,1.23085,1.40354,1.23405,0.00000,0.00000,0.00000,0.00000
5.00000,48.01829,0.00010,12319.17961,1.45650,1.17463,1.19799,1.15501,0.00000,0.00000,0.00000,0.00000
6.00000,44.38491,0.00010,12318.38717,1.39962,1.13204,1.14340,1.10756,0.00000,0.00000,0.00000,0.00000
7.00000,41.77053,0.00010,12314.94586,1.36341,1.10029,1.23802,1.11151,0.00000,0.00000,0.00000,0.00000
8.00000,39.71538,0.00010,12380.97632,1.32189,1.07409,1.18965,1.02331,0.00000,0.00000,0.00000,0.00000
9.00000,38.10133,0.00010,12384.11491,1.29714,1.05304,1.26607,1.06651,0.00000,0.00000,0.00000,0.00000
10.00000,36.76244,0.00010,12389.46686,1.27505,1.03463,1.02518,1.04583,0.00000,0.00000,0.00000,0.00000
11.00000,35.65063,0.00010,13233.17843,1.26043,1.01925,1.01835,1.03069,0.00000,0.00000,1.01812,1.03147
12.00000,34.67229,0.00010,12383.58693,1.24538,1.00565,1.51186,0.98168,0.00000,0.00000,0.00000,0.00000
13.00000,33.84019,0.00010,12306.35230,1.22211,0.99406,1.19390,0.99397,0.00000,0.00000,0.00000,0.00000
14.00000,33.24940,0.00010,12305.88672,1.22094,0.98396,1.74662,0.98290,0.00000,0.00000,0.00000,0.00000
15.00000,32.61529,0.00010,12372.92948,1.21309,0.97453,1.33218,0.96187,0.00000,0.00000,0.00000,0.00000
