epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,1040.83652,0.00010,13251.99736,6.68202,3.40157,3.55034,2.45284,0.00000,0.00000,0.00000,0.00000
2.00000,170.77693,0.00010,13161.18688,3.30723,2.18520,2.93634,1.95805,0.00000,0.00000,0.00000,0.00000
3.00000,121.81604,0.00010,13300.31802,2.69977,1.86340,2.99401,1.80193,0.00000,0.00000,0.00000,0.00000
4.00000,97.79704,0.00010,13260.40058,2.36708,1.67837,2.80479,1.59282,0.00000,0.00000,0.00000,0.00000
5.00000,83.53590,0.00010,13360.86477,2.18048,1.55397,1.80823,1.54231,0.00000,0.00000,0.00000,0.00000
6.00000,73.94519,0.00010,13256.98100,2.03372,1.46423,3.30551,1.37806,0.00000,0.00000,0.00000,0.00000
7.00000,67.20918,0.00010,13336.45582,1.92835,1.39668,1.45722,1.41779,0.00000,0.00000,0.00000,0.00000
8.00000,62.08814,0.00010,13250.83644,1.84854,1.34317,1.84834,1.27121,0.00000,0.00000,0.00000,0.00000
9.00000,58.29540,0.00010,13339.92601,1.78690,1.30141,1.91538,1.27392,0.00000,0.00000,0.00000,0.00000
10.00000,55.10084,0.00010,14254.17289,1.73387,1.26642,1.92721,1.23564,0.00000,0.00000,1.92488,1.23454
11.00000,52.71252,0.00010,13241.33758,1.69371,1.23812,2.18944,1.28287,0.00000,0.00000,0.00000,0.00000
12.00000,50.65944,0.00010,13226.11445,1.65827,1.21278,1.22127,1.24410,0.00000,0.00000,0.00000,0.00000
13.00000,48.68769,0.00010,13323.05003,1.61926,1.19107,2.86283,1.12236,0.00000,0.00000,0.00000,0.00000
14.00000,47.31507,0.00010,13222.91842,1.59380,1.17302,1.75735,1.17025,0.00000,0.00000,0.00000,0.00000
15.00000,45.99495,0.00010,13316.54152,1.57293,1.15623,3.56717,1.13849,0.00000,0.00000,0.00000,0.00000
16.00000,45.12423,0.00010,13322.90826,1.57119,1.14263,1.68726,1.17666,0.00000,0.00000,0.00000,0.00000
17.00000,43.97869,0.00010,13319.18357,1.53920,1.13018,1.25105,1.13087,0.00000,0.00000,0.00000,0.00000
18.00000,43.20386,0.00010,13218.05594,1.53528,1.11890,1.16242,1.12807,0.00000,0.00000,0.00000,0.00000
19.00000,42.29241,0.00010,13320.96664,1.50257,1.10867,1.19104,1.11086,0.00000,0.00000,0.00000,0.00000
20.00000,41.51829,0.00010,13234.92854,1.48728,1.09880,1.13362,1.11726,0.00000,0.00000,0.00000,0.00000
21.00000,40.90511,0.00010,13236.11540,1.48451,1.08977,1.37413,1.12554,0.00000,0.00000,0.00000,0.00000
22.00000,40.24392,0.00010,14157.09475,1.45492,1.08184,1.98849,1.03298,0.00000,0.00000,1.98780,1.03211
23.00000,39.90588,0.00010,13320.33651,1.47651,1.07501,1.90046,1.02690,0.00000,0.00000,0.00000,0.00000
24.00000,39.32501,0.00010,13231.33612,1.46005,1.06862,1.63553,1.08186,0.00000,0.00000,0.00000,0.00000
25.00000,38.96186,0.00010,13225.00944,1.45127,1.06238,2.05447,1.01487,0.00000,0.00000,0.00000,0.00000
26.00000,38.55612,0.00010,13304.69757,1.44526,1.05727,2.68919,1.03717,0.00000,0.00000,0.00000,0.00000
27.00000,38.16816,0.00010,13329.33858,1.43935,1.05123,1.05156,1.10933,0.00000,0.00000,0.00000,0.00000
28.00000,37.68961,0.00010,13327.82401,1.41791,1.04604,1.06384,1.01577,0.00000,0.00000,0.00000,0.00000
29.00000,37.52664,0.00010,13215.35184,1.41149,1.04197,1.38409,1.02322,0.00000,0.00000,0.00000,0.00000
30.00000,37.15498,0.00010,13242.80979,1.40948,1.03685,1.03810,1.04692,0.00000,0.00000,0.00000,0.00000
31.00000,36.85169,0.00010,13229.47852,1.39987,1.03292,1.19157,1.06323,0.00000,0.00000,0.00000,0.00000
