epoch,lr,step,train_loss,train_energy_mae,train_energy_mse,train_energy_per_atom_mae,train_energy_per_atom_mse,train_gradient_force_mae,train_gradient_force_mse,val_loss,val_energy_mae,val_energy_mse,val_energy_per_atom_mae,val_energy_per_atom_mse,val_gradient_force_mae,val_gradient_force_mse,test_loss,test_energy_mae,test_energy_mse,test_energy_per_atom_mae,test_energy_per_atom_mse,test_gradient_force_mae,test_gradient_force_mse,save_model
0,0.001,95,7.702438755180025,0.3677346509611304,0.515080851002207,0.017511173855292727,0.001167983789120724,0.39757085609746284,0.3593678952088912,1.7477955378753174,0.0857312743494549,0.01261157116295581,0.00408244163568952,2.85976670362278e-05,0.21859635434818878,0.08675919833561808,1.843241590658507,0.09226527538921073,0.014158073640941538,0.004393584542340932,3.210447537626002e-05,0.2234000001977134,0.09145417585087827,True
1,0.001,190,1.3627132805562439,0.11451797255566867,0.021314780864575313,0.0054532367883623565,4.833283642758399e-05,0.18823248626614617,0.0670699249845834,0.919754657360728,0.12859641525930784,0.022268598394922196,0.006123638821864006,5.0495687970258795e-05,0.15300687899422416,0.04487430294829029,,,,,,,,
2,0.001,285,0.8355406905296237,0.11589267402287269,0.021093883481518437,0.005518698762995616,4.783193533224539e-05,0.14945850019403023,0.04072234035240528,0.567616021880634,0.05955462716767215,0.005529466817203661,0.0028359346270372043,1.2538473508433859e-05,0.1300088777720169,0.028104327753171513,,,,,,,,
3,0.001,380,0.5988881784078031,0.11946781116250163,0.022696012354951195,0.00568894338868739,5.1464880623430704e-05,0.1272127133737325,0.028809608302642585,0.40230974504850436,0.04924521986700711,0.00400181909805873,0.0023450104698531505,9.074419723476815e-06,0.1041425550166803,0.01991539629752228,,,,,,,,
4,0.001,475,0.4974724257930337,0.12592809299592583,0.025097336457159357,0.005996575856948575,5.691005999357136e-05,0.11487957159694347,0.023618754466793727,0.384755385226277,0.05084486988198478,0.003771265755326454,0.0024211842800946214,8.551623027951558e-06,0.10384412360770953,0.019049205973547527,,,,,,,,
5,0.001,570,0.48836910033526304,0.12089705488549957,0.021930717639511987,0.005757002613596514,4.972951845695781e-05,0.11431781672196396,0.02332191913478754,0.48688670362140174,0.1345071510718117,0.021138388056848124,0.006405102431986052,4.7932852736576156e-05,0.11415930642933174,0.02328741577822768,,,,,,,,
6,0.001,665,0.38932325427890835,0.09603770009967681,0.013936505924270181,0.004573223814270116,3.160205425005445e-05,0.10278881510023678,0.01876933741773191,0.41509705997668933,0.11965683587353851,0.017647094482836353,0.005697944565404214,4.00160872625992e-05,0.10301903872763955,0.01987249827469265,,,,,,,,
7,0.001,760,0.33622292419367894,0.09381726705316011,0.013129427647230468,0.004467488907293714,2.9771944778289202e-05,0.09476918728143727,0.016154674827322423,0.36464848251314946,0.06234684297858621,0.005769114334547435,0.0029688972846929574,1.308189191509376e-05,0.09704654131316885,0.017943968408930103,,,,,,,,
8,0.001,855,0.35746281786154116,0.0741871766203717,0.009508563975478836,0.003532722696208784,2.1561369558915458e-05,0.09770180696964145,0.01739771269430312,0.3554528001688107,0.05458247831076733,0.004444038829825739,0.002599165633846496,1.007718555515648e-05,0.09764123640738458,0.017550438066949246,,,,,,,,
9,0.001,950,0.2987921526877347,0.11431479657689606,0.018062092805995862,0.0054435617417585794,4.0957126544222076e-05,0.0889270811909939,0.014036502994086932,0.2664202537162895,0.05400435809628107,0.004242805489358794,0.0025716360998239906,9.620874125517938e-06,0.08456620656326946,0.013108872411346537,,,,,,,,
