epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,1035.76712,0.00010,13402.85916,6.70050,3.41436,3.87520,2.50023,0.00000,0.00000,0.00000,0.00000
2.00000,172.85580,0.00010,13320.72035,3.32255,2.19750,2.78693,1.96397,0.00000,0.00000,0.00000,0.00000
3.00000,122.82781,0.00010,13428.09687,2.70542,1.86849,3.38751,1.75784,0.00000,0.00000,0.00000,0.00000
4.00000,97.84093,0.00010,13349.43596,2.37565,1.67722,2.05401,1.55499,0.00000,0.00000,0.00000,0.00000
5.00000,82.96362,0.00010,13452.33881,2.17149,1.54641,1.98377,1.52118,0.00000,0.00000,0.00000,0.00000
6.00000,73.13086,0.00010,13363.73329,2.03249,1.45307,2.87944,1.50585,0.00000,0.00000,0.00000,0.00000
7.00000,66.16407,0.00010,13352.93187,1.93824,1.38308,1.80768,1.32108,0.00000,0.00000,0.00000,0.00000
8.00000,61.00504,0.00010,13433.14118,1.84518,1.32979,2.30163,1.33261,0.00000,0.00000,0.00000,0.00000
9.00000,56.97978,0.00010,13433.03535,1.77275,1.28675,1.26123,1.27937,0.00000,0.00000,0.00000,0.00000
10.00000,53.99662,0.00010,14281.47625,1.73425,1.25101,1.54464,1.24164,0.00000,0.00000,1.54479,1.23964
11.00000,51.37356,0.00010,13423.13563,1.68065,1.22140,1.24846,1.27858,0.00000,0.00000,0.00000,0.00000
12.00000,49.24571,0.00010,13407.98276,1.64336,1.19595,1.26698,1.24839,0.00000,0.00000,0.00000,0.00000
13.00000,47.54609,0.00010,13323.07288,1.61223,1.17497,1.23045,1.20614,0.00000,0.00000,0.00000,0.00000
14.00000,46.01180,0.00010,13421.59732,1.58356,1.15585,1.15536,1.13192,0.00000,0.00000,0.00000,0.00000
15.00000,44.69701,0.00010,13318.99470,1.55040,1.13939,1.10554,1.14927,0.00000,0.00000,0.00000,0.00000
16.00000,43.47895,0.00010,13328.41880,1.52483,1.12387,2.35968,1.15478,0.00000,0.00000,0.00000,0.00000
17.00000,42.57733,0.00010,13332.54866,1.50460,1.11099,1.13333,1.13490,0.00000,0.00000,0.00000,0.00000
18.00000,41.70461,0.00010,13324.27862,1.48381,1.10009,1.16142,1.10719,0.00000,0.00000,0.00000,0.00000
19.00000,41.02435,0.00010,13419.27374,1.47750,1.08877,1.90810,1.05704,0.00000,0.00000,0.00000,0.00000
20.00000,40.23216,0.00010,14256.46229,1.46291,1.07963,1.17116,1.08632,0.00000,0.00000,1.17059,1.08446
21.00000,39.57347,0.00010,13421.96631,1.45241,1.07101,1.42096,1.00813,0.00000,0.00000,0.00000,0.00000
22.00000,38.97267,0.00010,13344.22493,1.42547,1.06302,1.66273,1.09444,0.00000,0.00000,0.00000,0.00000
23.00000,38.56037,0.00010,13358.14470,1.41436,1.05504,1.58773,1.05145,0.00000,0.00000,0.00000,0.00000
24.00000,37.86410,0.00010,13352.25963,1.39932,1.04788,1.15719,1.03472,0.00000,0.00000,0.00000,0.00000
25.00000,37.38740,0.00010,13350.65723,1.39432,1.04141,1.42467,1.05442,0.00000,0.00000,0.00000,0.00000
26.00000,37.04476,0.00010,13319.67159,1.40446,1.03565,2.78147,0.97810,0.00000,0.00000,0.00000,0.00000
27.00000,36.67806,0.00010,13330.40805,1.38132,1.02996,2.06064,1.05058,0.00000,0.00000,0.00000,0.00000
28.00000,36.44518,0.00010,13331.11966,1.38952,1.02543,1.16417,0.99054,0.00000,0.00000,0.00000,0.00000
