epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,1159.11512,0.00010,13221.77055,6.42394,3.23161,3.18986,2.33267,0.00000,0.00000,0.00000,0.00000
2.00000,160.43791,0.00010,13129.49902,3.21681,2.09276,3.39428,1.89264,0.00000,0.00000,0.00000,0.00000
3.00000,117.03745,0.00010,13231.48842,2.68893,1.80269,2.73521,1.74113,0.00000,0.00000,0.00000,0.00000
4.00000,95.54240,0.00010,13151.38050,2.38827,1.63621,2.90788,1.59868,0.00000,0.00000,0.00000,0.00000
5.00000,82.12363,0.00010,13248.57955,2.17867,1.52179,1.87194,1.45073,0.00000,0.00000,0.00000,0.00000
6.00000,72.94430,0.00010,13151.85275,2.04969,1.43864,3.17605,1.33335,0.00000,0.00000,0.00000,0.00000
7.00000,66.41151,0.00010,13239.01569,1.95755,1.37488,1.51091,1.37682,0.00000,0.00000,0.00000,0.00000
8.00000,61.42850,0.00010,13158.25538,1.86231,1.32335,2.27844,1.24150,0.00000,0.00000,0.00000,0.00000
9.00000,57.52754,0.00010,13242.39955,1.80518,1.28126,1.81418,1.19896,0.00000,0.00000,0.00000,0.00000
10.00000,54.44179,0.00010,13164.68394,1.75117,1.24675,1.30679,1.25110,0.00000,0.00000,0.00000,0.00000
11.00000,51.75398,0.00010,13148.11971,1.70228,1.21613,1.32383,1.22364,0.00000,0.00000,0.00000,0.00000
12.00000,49.66845,0.00010,13155.92217,1.66300,1.19172,2.04300,1.22913,0.00000,0.00000,0.00000,0.00000
13.00000,47.98777,0.00010,14052.98610,1.63266,1.17050,2.14730,1.11264,0.00000,0.00000,2.14789,1.11069
14.00000,46.44144,0.00010,13272.34463,1.60240,1.15110,1.90301,1.13318,0.00000,0.00000,0.00000,0.00000
15.00000,44.92361,0.00010,13247.39432,1.56934,1.13400,1.12130,1.12230,0.00000,0.00000,0.00000,0.00000
16.00000,43.78868,0.00010,13155.12069,1.52919,1.11867,2.20951,1.11132,0.00000,0.00000,0.00000,0.00000
17.00000,42.87841,0.00010,13157.36892,1.54691,1.10625,1.31665,1.07354,0.00000,0.00000,0.00000,0.00000
18.00000,41.93778,0.00010,13233.23500,1.50765,1.09388,1.45387,1.09115,0.00000,0.00000,0.00000,0.00000
19.00000,41.07688,0.00010,13233.69403,1.50758,1.08377,1.19120,1.06818,0.00000,0.00000,0.00000,0.00000
20.00000,40.53714,0.00010,13127.80629,1.49179,1.07418,1.07310,1.12508,0.00000,0.00000,0.00000,0.00000
21.00000,39.57568,0.00010,13157.76144,1.46491,1.06571,1.40819,1.04173,0.00000,0.00000,0.00000,0.00000
22.00000,39.13258,0.00010,13231.78443,1.45424,1.05631,2.98614,1.06723,0.00000,0.00000,0.00000,0.00000
23.00000,38.36790,0.00010,14125.64940,1.43852,1.04785,1.95406,0.99208,0.00000,0.00000,1.95345,0.99016
24.00000,37.86100,0.00010,13139.77288,1.41140,1.04130,1.05723,1.03124,0.00000,0.00000,0.00000,0.00000
25.00000,37.30558,0.00010,13221.73166,1.40428,1.03393,1.29061,1.01565,0.00000,0.00000,0.00000,0.00000
26.00000,36.86703,0.00010,13161.79355,1.40181,1.02807,1.35686,1.01157,0.00000,0.00000,0.00000,0.00000
27.00000,36.51653,0.00010,13234.39077,1.39640,1.02212,1.55770,0.97188,0.00000,0.00000,0.00000,0.00000
28.00000,36.15756,0.00010,13124.99771,1.39538,1.01648,1.08528,1.05312,0.00000,0.00000,0.00000,0.00000
29.00000,35.69414,0.00010,13123.97381,1.37993,1.01209,1.36205,1.01618,0.00000,0.00000,0.00000,0.00000
30.00000,35.43666,0.00010,13126.72487,1.37587,1.00764,0.98337,1.02388,0.00000,0.00000,0.00000,0.00000
31.00000,35.12430,0.00010,13144.56235,1.37443,1.00336,1.90315,0.92481,0.00000,0.00000,0.00000,0.00000
